dataset,perturbation,seed,lr_accuracy,svm_accuracy,accuracy_difference,lr_retention,svm_retention,retention_difference,lr_relative_drop,svm_relative_drop
clinc150,typo,256,0.7926666666666666,0.814,0.021333333333333315,0.8913043478260869,0.8931967812728602,0.0018924334467732562,0.108695652173913,0.1068032187271397
clinc150,typo,512,0.7908888888888889,0.8142222222222222,0.023333333333333317,0.8893053473263368,0.8934406242379906,0.004135276911653829,0.1106946526736631,0.1065593757620093
clinc150,typo,1024,0.7871111111111111,0.8093333333333333,0.022222222222222254,0.8850574712643678,0.8880760790051208,0.00301860774075291,0.1149425287356321,0.1119239209948792
clinc150,typo,2026,0.7871111111111111,0.8068888888888889,0.019777777777777783,0.8850574712643678,0.8853938063886857,0.00033633512431785473,0.1149425287356321,0.1146061936113143
clinc150,char_delete,1,0.8133333333333334,0.8315555555555556,0.01822222222222225,0.9145427286356822,0.9124603755181664,-0.0020823531175158116,0.0854572713643178,0.0875396244818336
clinc150,char_delete,7,0.8122222222222222,0.8373333333333334,0.025111111111111195,0.9132933533233384,0.9188002926115582,0.00550693928821977,0.0867066466766617,0.0811997073884417
clinc150,char_delete,21,0.8106666666666666,0.8371111111111111,0.026444444444444493,0.9115442278860568,0.9185564496464276,0.0070122217603707515,0.088455772113943,0.0814435503535722
clinc150,char_delete,42,0.8211111111111111,0.8424444444444444,0.021333333333333315,0.923288355822089,0.9244086808095586,0.001120324987469612,0.076711644177911,0.0755913191904413
clinc150,char_delete,84,0.8128888888888889,0.8373333333333334,0.02444444444444449,0.9140429785107448,0.9188002926115582,0.00475731410081337,0.0859570214892553,0.0811997073884417
clinc150,char_delete,123,0.8168888888888889,0.8368888888888889,0.020000000000000018,0.9185407296351824,0.9183126066812972,-0.00022812295388519033,0.0814592703648175,0.0816873933187027
clinc150,char_delete,256,0.8148888888888889,0.8351111111111111,0.020222222222222253,0.9162918540729637,0.9163618629602536,7.00088872899185e-05,0.0837081459270364,0.0836381370397463
clinc150,char_delete,512,0.8102222222222222,0.8355555555555556,0.02533333333333343,0.9110444777611194,0.9168495488905146,0.005805071129395212,0.0889555222388805,0.0831504511094854
clinc150,char_delete,1024,0.8135555555555556,0.8357777777777777,0.022222222222222143,0.914792603698151,0.9170933918556448,0.002300788157493794,0.085207396301849,0.082906608144355
clinc150,char_delete,2026,0.8108888888888889,0.8337777777777777,0.022888888888888848,0.9117941029485258,0.9148988051694708,0.0031047022209449437,0.0882058970514742,0.0851011948305291
clinc150,word_delete,1,0.7868888888888889,0.8111111111111111,0.024222222222222256,0.8848075962018991,0.8900268227261644,0.005219226524265319,0.1151924037981009,0.1099731772738356
clinc150,word_delete,7,0.7888888888888889,0.814,0.025111111111111084,0.887056471764118,0.8931967812728602,0.0061403095087422255,0.112943528235882,0.1068032187271397
clinc150,word_delete,21,0.7824444444444445,0.8075555555555556,0.025111111111111084,0.8798100949525238,0.8861253352840771,0.006315240331553285,0.1201899050474761,0.1138746647159229
clinc150,word_delete,42,0.7868888888888889,0.8137777777777778,0.026888888888888962,0.8848075962018991,0.8929529383077299,0.008145342105830844,0.1151924037981009,0.1070470616922701
clinc150,word_delete,84,0.7815555555555556,0.8086666666666666,0.027111111111111086,0.8788105947026487,0.8873445501097293,0.008533955407080684,0.1211894052973513,0.1126554498902706
clinc150,word_delete,123,0.7815555555555556,0.8066666666666666,0.025111111111111084,0.8788105947026487,0.8851499634235552,0.0063393687209065686,0.1211894052973513,0.1148500365764448
clinc150,word_delete,256,0.7846666666666666,0.8102222222222222,0.025555555555555554,0.8823088455772113,0.8890514508656425,0.0067426052884311805,0.1176911544227886,0.1109485491343575
clinc150,word_delete,512,0.7811111111111111,0.8004444444444444,0.019333333333333313,0.8783108445777111,0.8783223603999024,1.1515822191277003e-05,0.1216891554222888,0.1216776396000975
clinc150,word_delete,1024,0.7848888888888889,0.8068888888888889,0.02200000000000002,0.8825587206396801,0.8853938063886857,0.0028350857490055947,0.1174412793603198,0.1146061936113143
clinc150,word_delete,2026,0.7835555555555556,0.8066666666666666,0.023111111111111082,0.8810594702648676,0.8851499634235552,0.0040904931586875914,0.1189405297351324,0.1148500365764448
hwu64,typo,1,0.7407063197026023,0.7611524163568774,0.020446096654275103,0.8914988814317674,0.8854054054054055,-0.006093476026361899,0.1085011185682325,0.1145945945945945
hwu64,typo,7,0.7434944237918215,0.7611524163568774,0.017657992565055847,0.8948545861297539,0.8854054054054055,-0.009449180724348416,0.105145413870246,0.1145945945945945
hwu64,typo,21,0.7537174721189591,0.766728624535316,0.013011152416356864,0.907158836689038,0.8918918918918919,-0.015266944797146076,0.0928411633109619,0.108108108108108
hwu64,typo,42,0.7379182156133829,0.766728624535316,0.028810408921933095,0.8881431767337808,0.8918918918918919,0.003748715158111038,0.1118568232662192,0.108108108108108
hwu64,typo,84,0.7444237918215614,0.7778810408921933,0.03345724907063197,0.8959731543624162,0.904864864864865,0.008891710502448746,0.1040268456375838,0.095135135135135
hwu64,typo,123,0.7453531598513011,0.7620817843866171,0.016728624535315983,0.8970917225950784,0.8864864864864865,-0.010605236108591876,0.1029082774049216,0.1135135135135134
hwu64,typo,256,0.7481412639405205,0.7760223048327137,0.027881040892193232,0.900447427293065,0.9027027027027028,0.002255275409637769,0.099552572706935,0.0972972972972972
hwu64,typo,512,0.7602230483271375,0.7788104089219331,0.0185873605947956,0.9149888143176732,0.905945945945946,-0.009042868371727186,0.0850111856823266,0.094054054054054
hwu64,typo,1024,0.7453531598513011,0.7723048327137546,0.02695167286245348,0.8970917225950784,0.8983783783783784,0.0012866557833000059,0.1029082774049216,0.1016216216216216
hwu64,typo,2026,0.758364312267658,0.7732342007434945,0.014869888475836479,0.912751677852349,0.8994594594594596,-0.01329221839288941,0.0872483221476509,0.1005405405405404
hwu64,char_delete,1,0.7639405204460966,0.7964684014869888,0.032527881040892215,0.9194630872483222,0.9264864864864863,0.007023399238164196,0.0805369127516778,0.0735135135135135
hwu64,char_delete,7,0.7407063197026023,0.7676579925650557,0.02695167286245348,0.8914988814317674,0.892972972972973,0.001474091541205591,0.1085011185682325,0.107027027027027
hwu64,char_delete,21,0.7490706319702602,0.7806691449814126,0.03159851301115235,0.9015659955257272,0.908108108108108,0.006542112582380799,0.0984340044742728,0.0918918918918919
hwu64,char_delete,42,0.7704460966542751,0.7927509293680297,0.022304832713754608,0.9272930648769576,0.9221621621621622,-0.005130902714795438,0.0727069351230424,0.0778378378378378
hwu64,char_delete,84,0.7723048327137546,0.7825278810408922,0.010223048327137607,0.929530201342282,0.9102702702702704,-0.019259931072011627,0.0704697986577181,0.0897297297297296
hwu64,char_delete,123,0.7620817843866171,0.7871747211895911,0.025092936802973975,0.9172259507829978,0.9156756756756758,-0.0015502751073220855,0.0827740492170021,0.0843243243243242
hwu64,char_delete,256,0.75,0.7695167286245354,0.01951672862453535,0.9026845637583892,0.8951351351351352,-0.007549428623254029,0.0973154362416107,0.1048648648648647
hwu64,char_delete,512,0.7592936802973977,0.8011152416356877,0.04182156133828996,0.9138702460850112,0.931891891891892,0.018021645806880815,0.0861297539149888,0.0681081081081081
hwu64,char_delete,1024,0.758364312267658,0.7881040892193308,0.029739776951672847,0.912751677852349,0.9167567567567568,0.004005078904407822,0.0872483221476509,0.0832432432432432
hwu64,char_delete,2026,0.7444237918215614,0.7806691449814126,0.036245353159851224,0.8959731543624162,0.908108108108108,0.012134953745691845,0.1040268456375838,0.0918918918918919
hwu64,word_delete,1,0.7258364312267658,0.7602230483271375,0.03438661710037172,0.8736017897091722,0.8843243243243243,0.010722534615152046,0.1263982102908277,0.1156756756756757
hwu64,word_delete,7,0.7462825278810409,0.7630111524163569,0.016728624535315983,0.8982102908277405,0.8875675675675676,-0.010642723260172904,0.1017897091722594,0.1124324324324324
hwu64,word_delete,21,0.7462825278810409,0.7769516728624535,0.0306691449814126,0.8982102908277405,0.9037837837837838,0.005573492956043258,0.1017897091722594,0.0962162162162162
hwu64,word_delete,42,0.7369888475836431,0.7490706319702602,0.012081784386617112,0.8870246085011186,0.8713513513513514,-0.015673257149767195,0.1129753914988813,0.1286486486486485
hwu64,word_delete,84,0.7388475836431226,0.7639405204460966,0.025092936802973975,0.889261744966443,0.8886486486486487,-0.0006130963177942705,0.110738255033557,0.1113513513513513
hwu64,word_delete,123,0.75,0.7713754646840149,0.021375464684014855,0.9026845637583892,0.8972972972972973,-0.0053872664610918886,0.0973154362416107,0.1027027027027026
hwu64,word_delete,256,0.7323420074349443,0.7527881040892194,0.020446096654275103,0.8814317673378077,0.8756756756756757,-0.005756091662131979,0.1185682326621923,0.1243243243243242
hwu64,word_delete,512,0.758364312267658,0.7704460966542751,0.012081784386617112,0.912751677852349,0.8962162162162163,-0.01653546163613273,0.0872483221476509,0.1037837837837837
hwu64,word_delete,1024,0.7388475836431226,0.7676579925650557,0.028810408921933095,0.889261744966443,0.892972972972973,0.0037112280065300096,0.110738255033557,0.107027027027027
hwu64,word_delete,2026,0.7537174721189591,0.7630111524163569,0.009293680297397744,0.907158836689038,0.8875675675675676,-0.019591269121470356,0.0928411633109619,0.1124324324324324
