dataset,perturbation,requested_severity,seed,word_accuracy,char_accuracy,accuracy_difference,word_retention,char_retention,retention_difference
banking77,char_delete,0.4,2026,0.7175324675324676,0.8623376623376623,0.14480519480519471,0.8056872037914692,0.9540229885057472,0.148335784714278
banking77,word_delete,0.4,1,0.6392857142857142,0.6487012987012987,0.009415584415584433,0.7178271965001822,0.7176724137931034,-0.00015478270707880437
banking77,word_delete,0.4,7,0.6448051948051948,0.6493506493506493,0.004545454545454519,0.7240247903755013,0.7183908045977012,-0.005633985777800055
banking77,word_delete,0.4,21,0.6334415584415585,0.6493506493506493,0.015909090909090873,0.7112650382792564,0.7183908045977012,0.007125766318444859
banking77,word_delete,0.4,42,0.638961038961039,0.6441558441558441,0.0051948051948051965,0.7174626321545753,0.7126436781609196,-0.004818953993655728
banking77,word_delete,0.4,84,0.6441558441558441,0.6457792207792208,0.0016233766233766378,0.7232956616842873,0.7144396551724138,-0.00885600651187346
banking77,word_delete,0.4,123,0.6467532467532467,0.6441558441558441,-0.0025974025974025983,0.7262121764491433,0.7126436781609196,-0.013568498288223707
banking77,word_delete,0.4,256,0.6474025974025974,0.650974025974026,0.0035714285714285587,0.7269413051403573,0.7201867816091955,-0.0067545235311617935
banking77,word_delete,0.4,512,0.6425324675324675,0.6441558441558441,0.0016233766233766378,0.7214728399562522,0.7126436781609196,-0.008829161795332663
banking77,word_delete,0.4,1024,0.6457792207792208,0.6525974025974026,0.006818181818181834,0.7251184834123223,0.7219827586206897,-0.003135724791632599
banking77,word_delete,0.4,2026,0.6418831168831168,0.6457792207792208,0.003896103896103953,0.7207437112650382,0.7144396551724138,-0.0063040560926244105
clinc150,typo,0.05,1,0.8884444444444445,0.9031111111111112,0.014666666666666717,0.9748841745915632,0.98545101842871,0.010566843837146789
clinc150,typo,0.05,7,0.892,0.9033333333333332,0.011333333333333195,0.9787856620336504,0.9856935014548982,0.006907839421247841
clinc150,typo,0.05,21,0.8931111111111111,0.9053333333333332,0.012222222222222134,0.9800048768593026,0.9878758486905918,0.007870971831289153
clinc150,typo,0.05,42,0.8888888888888888,0.9015555555555556,0.012666666666666715,0.975371860521824,0.9837536372453928,0.008381776723568768
clinc150,typo,0.05,84,0.8904444444444445,0.9011111111111112,0.010666666666666713,0.9770787612777372,0.9832686711930164,0.006189909915279235
clinc150,typo,0.05,123,0.89,0.8991111111111111,0.00911111111111107,0.9765910753474762,0.981086323957323,0.004495248609846736
clinc150,typo,0.05,256,0.8828888888888888,0.9002222222222223,0.017333333333333423,0.9687881004633015,0.982298739088264,0.01351063862496249
clinc150,typo,0.05,512,0.886,0.898,0.01200000000000001,0.972201901975128,0.9798739088263824,0.007672006851254354
clinc150,typo,0.05,1024,0.892,0.9037777777777778,0.011777777777777776,0.9787856620336504,0.9861784675072746,0.007392805473624198
clinc150,typo,0.05,2026,0.8882222222222222,0.9044444444444444,0.016222222222222138,0.9746403316264326,0.9869059165858391,0.01226558495940655
clinc150,char_delete,0.05,1,0.8953333333333333,0.9091111111111112,0.013777777777777889,0.9824433065106072,0.9919980601357904,0.00955475362518321
clinc150,char_delete,0.05,7,0.8968888888888888,0.9093333333333332,0.01244444444444437,0.9841502072665204,0.9922405431619788,0.00809033589545849
clinc150,char_delete,0.05,21,0.8924444444444445,0.9097777777777778,0.01733333333333331,0.9792733479639112,0.9927255092143552,0.013452161250444017
clinc150,char_delete,0.05,42,0.896,0.9084444444444444,0.01244444444444437,0.9831748354059986,0.991270611057226,0.008095775651227433
clinc150,char_delete,0.05,84,0.8933333333333333,0.9102222222222224,0.016888888888889064,0.9802487198244332,0.9932104752667316,0.012961755442298384
clinc150,char_delete,0.05,123,0.8937777777777778,0.9095555555555556,0.01577777777777778,0.980736405754694,0.9924830261881668,0.011746620433472743
clinc150,char_delete,0.05,256,0.8942222222222223,0.9077777777777778,0.013555555555555543,0.981224091684955,0.9905431619786615,0.0093190702937066
clinc150,char_delete,0.05,512,0.8951111111111111,0.9102222222222224,0.015111111111111297,0.9821994635454768,0.9932104752667316,0.011011011721254738
clinc150,char_delete,0.05,1024,0.8931111111111111,0.9091111111111112,0.016000000000000125,0.9800048768593026,0.9919980601357904,0.011993183276487795
clinc150,char_delete,0.05,2026,0.8922222222222222,0.908,0.01577777777777778,0.9790295049987808,0.9907856450048498,0.01175614000606895
clinc150,word_delete,0.05,1,0.8913333333333333,0.8922222222222222,0.000888888888888939,0.978054133138259,0.97356935014549,-0.004484782992768999
clinc150,word_delete,0.05,7,0.8913333333333333,0.8937777777777778,0.0024444444444444713,0.978054133138259,0.975266731328807,-0.002787401809451917
clinc150,word_delete,0.05,21,0.8873333333333333,0.8897777777777778,0.0024444444444444713,0.9736649597659108,0.97090203685742,-0.0027629229084907836
clinc150,word_delete,0.05,42,0.8913333333333333,0.8915555555555555,0.00022222222222223476,0.978054133138259,0.9728419010669254,-0.005212232071333589
clinc150,word_delete,0.05,84,0.8891111111111111,0.8911111111111111,0.0020000000000000018,0.9756157034869544,0.972356935014549,-0.00325876847240536
clinc150,word_delete,0.05,123,0.8868888888888888,0.8946666666666667,0.007777777777777883,0.9731772738356498,0.9762366634335596,0.003059389597909856
clinc150,word_delete,0.05,256,0.8882222222222222,0.892,0.003777777777777769,0.9746403316264326,0.9733268671193016,-0.0013134645071309903
clinc150,word_delete,0.05,512,0.8886666666666667,0.8933333333333333,0.004666666666666597,0.9751280175566936,0.9747817652764308,-0.0003462522802628598
clinc150,word_delete,0.05,1024,0.8868888888888888,0.8913333333333333,0.004444444444444473,0.9731772738356498,0.9725994180407372,-0.0005778557949125407
clinc150,word_delete,0.05,2026,0.8804444444444445,0.8864444444444445,0.006000000000000005,0.9661058278468666,0.9672647914645977,0.0011589636177310458
clinc150,typo,0.1,1,0.8646666666666667,0.89,0.02533333333333332,0.9487929773226044,0.9711445198836082,0.0223515425610038
